,Target Job Title,Matched Job Title,Similarity Score
2108,Co-Founder & CTO,Chief Executives,0.39253312
2109,Architecture,Architectural and Engineering Managers,0.66218346
2110,WFM Consultant,"Business Operations Specialists, All Other",0.4801051
2111,Growth Analyst,Management Analysts,0.66304564
2112,Salesforce Developer,Software Developers,0.7828292
2113,Deputy Chief of Staff,Chief Executives,0.5978398
2114,Content Index Specialist,Document Management Specialists,0.53616786
2115,Innkeeper,Lodging Managers,0.4451145
2116,Business Development Intern,Training and Development Specialists,0.556334
2117,Technical Sales Manager,Sales Managers,0.8219304
2118,Options Trader,Real Estate Brokers,0.4772203
2119,Assessment Clinician,"Physicians, Pathologists",0.53508437
2120,Postdoctual Fellow,Postal Service Clerks,0.47902733
2121,Account Vice President,New Accounts Clerks,0.50645393
2122,Principal System Engineer,Computer Systems Engineers/Architects,0.63570666
2123,Finance Manager,Financial Managers,0.9076018
2124,Product Development Manager,Training and Development Managers,0.58313894
2125,Senior Product Design Manager,Commercial and Industrial Designers,0.57441795
2126,Senior Computational Systems Biologist,Bioinformatics Scientists,0.62180114
2127,Chief Scientist,"Physical Scientists, All Other",0.6228892
2128,MSW Student,Tutors,0.4370221
2129,Fine Artist,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.687526
2130,Runner,Athletic Trainers,0.44689876
2131,Scientific Leadership and Research Manager,Natural Sciences Managers,0.66694045
2132,Education Coordinator,Instructional Coordinators,0.82908404
2133,Resource Center Paralegal,Paralegals and Legal Assistants,0.6529074
2134,Associate Application Developer,Software Developers,0.60132
2135,MRSEC Graduate Fellow,"Education Administrators, All Other",0.43450484
2136,"Guidance, Navigation, and Controls Engineer",Robotics Engineers,0.53898144
2137,Scientific Communications and Engagement Manager,Natural Sciences Managers,0.5981109
2138,Clinical Development Scientist,Clinical Research Coordinators,0.61729527
2139,Health Science Specialist,Health Education Specialists,0.7831831
2140,Regional Medical Director,Medical Records Specialists,0.55757475
2141,Deputy Director,Emergency Management Directors,0.5265412
2142,Hardware Hacking Apprentice,Computer Hardware Engineers,0.55078804
2143,Chairman,Chief Executives,0.5848596
2144,Regulatory Compliance Engineer,Compliance Managers,0.72700024
2145,College Program Coordinator,Instructional Coordinators,0.77169216
2146,Software Tester,Software Quality Assurance Analysts and Testers,0.59796643
2147,Multi-Instrumentalist,Musicians and Singers,0.6713591
2148,Office Of The Chief Executive Officer,Chief Executives,0.77228546
2149,Educational Psychology Researcher,School Psychologists,0.7712976
2150,Editorial Associate,Editors,0.598279
2151,Insights Analyst,Business Intelligence Analysts,0.7210051
2152,Sales Associate,Retail Salespersons,0.7482306
2153,Client Portfolio Manager,Investment Fund Managers,0.54630345
2154,Sales Agent,Real Estate Sales Agents,0.8385948
2155,Legal Recruitment Specialist,Lawyers,0.6182973
2156,Economist II,Economists,0.7542387
2157,Database Developer,Database Architects,0.7161423
2158,History Faculty,"History Teachers, Postsecondary",0.78292155
2159,Senior Literary Agent,Writers and Authors,0.55009305
2160,Project Associate,Project Management Specialists,0.69531864
2161,Product Manager I,Sales Managers,0.64524376
2162,Scientific Associate,"Biological Scientists, All Other",0.62058365
2163,Articles Editor,Editors,0.71602273
2164,Substitute Teacher,"Substitute Teachers, Short-Term",0.8607619
2165,Senior Director of Product Management,Sales Managers,0.5828867
2166,Project Engineer I,Project Management Specialists,0.7463625
2167,Assistant Construction Manager,Construction Managers,0.8442819
2168,Chief Revenue Officer,Chief Executives,0.72709084
2169,Principal Specialist,"Pediatricians, General",0.6041964
2170,MBBS Candidate,Microbiologists,0.34286264
2171,Admissions Coordinator,Instructional Coordinators,0.6817889
2172,Program Accountant,Accountants and Auditors,0.5930644
2173,Solution Engineer,Manufacturing Engineers,0.7293278
2174,Strategic Associate,"Business Operations Specialists, All Other",0.51226676
2175,Assistant General Counsel,"Pediatricians, General",0.5921118
2176,Deputy Chief,Chief Executives,0.613181
2177,Sponsored Projects Administrator,Project Management Specialists,0.6300671
2178,Qualty Control New Product Introduction Analyst,Quality Control Analysts,0.6292371
2179,Yoga Teacher,"Teachers and Instructors, All Other",0.5490229
2180,Demand Generation Specialist,Marketing Managers,0.47763336
2181,Equity Options Trader,Real Estate Brokers,0.48471236
2182,Financial Markets Advisory Associate,Financial Risk Specialists,0.6488553
2183,AI Engineer,Industrial Engineers,0.71276486
2184,Associate General Counsel,"Pediatricians, General",0.54547954
2185,Senior Customer Success Manager,Marketing Managers,0.6075349
2186,Private Investor,Investment Fund Managers,0.5230192
2187,Saxophonist,Musicians and Singers,0.41428146
2188,Corporate Sustainability Representative,Sustainability Specialists,0.7830059
2189,Program Officer,Command and Control Center Officers,0.63964784
2190,Postdoc Research Affiliate,Clinical Research Coordinators,0.35350496
2191,Master Student,"Education Administrators, All Other",0.47522956
2192,Associate Faculty Director,Medical Secretaries and Administrative Assistants,0.53674257
2193,Chief Data Scientist,Data Scientists,0.81521916
2194,Senior Financial Analyst,Financial and Investment Analysts,0.73482955
2195,Business Intelligence Engineer,Business Intelligence Analysts,0.8166386
2196,Education Specialist,"Education Administrators, All Other",0.7709222
2197,Deputy Manager,Administrative Services Managers,0.5907741
2198,Fulbright Fellow,Archivists,0.47253153
2199,Deputy Advocacy Director,Emergency Management Directors,0.53969616
2200,Product & Innovation Manager,Marketing Managers,0.6318817
2201,Senior Experience Designer,Commercial and Industrial Designers,0.57660526
2202,Interim chief financial officer,Chief Executives,0.5927328
2203,Chief Clinical Strategy Officer,Medical and Health Services Managers,0.5868765
2204,Policy Director,Regulatory Affairs Managers,0.622164
2205,Research Scientist,"Biological Scientists, All Other",0.69170403
2206,Hut Caretaker,Animal Caretakers,0.54007065
2207,Technical Services,Automotive Service Technicians and Mechanics,0.6130562
2208,Marketing Generalist,Marketing Managers,0.61013174
2209,Web Intel Analyst,Web Developers,0.6315192
2210,Compiler Engineer,Software Developers,0.67161345
2211,Research Software Engineer,Software Developers,0.7450194
2212,Seeking Remote Positions,Remote Sensing Technicians,0.42006984
2213,ETF Specialist,Investment Fund Managers,0.5508875
2214,Assistant Lacrosse Coach,Athletic Trainers,0.5195682
2215,Solutions Specialist,Project Management Specialists,0.6451669
2216,Running Coach,Athletic Trainers,0.5334644
2217,Cardiologist,Cardiologists,0.94888616
2218,Immigrant Justice Corps Fellow,"Legal Support Workers, All Other",0.46299395
2219,Partner Solutions Engineer,Industrial Engineers,0.5308715
2220,Teaching Assistant II,"Teaching Assistants, All Other",0.7397888
2221,Clinical Fellow,"Physicians, All Other",0.58610463
2222,Lead Tutor Coordinator,Instructional Coordinators,0.7114735
2223,Private Piano Teacher,"Elementary School Teachers, Except Special Education",0.49007517
2224,Business Consultant,"Business Operations Specialists, All Other",0.6755295
2225,Events Manager,"Meeting, Convention, and Event Planners",0.5454029
2226,Assistant Rowing Coach,Athletic Trainers,0.548877
2227,Deputy Director of Research,Clinical Research Coordinators,0.5639268
2228,Lead Machine Learning Engineer,Materials Engineers,0.4792525
2229,Head of Network,Computer Network Architects,0.5777501
2230,Junior Credit Analyst,Credit Analysts,0.85274935
2231,Master of Business Administration,Administrative Services Managers,0.6041944
2232,Talent Partner,Talent Directors,0.68660647
2233,Chief Science Officer,Chief Sustainability Officers,0.6813722
2234,Senior Policy Advisor,Residential Advisors,0.6161386
2235,Movement Artist,Craft Artists,0.5474874
2236,Chester Dale Interdisciplinary Fellow,"Life Scientists, All Other",0.44474018
2237,Product Specialist,"Business Operations Specialists, All Other",0.64871365
2238,Membership Director,Emergency Management Directors,0.453173
2239,Research Assitant,Computer and Information Research Scientists,0.5262643
2240,Senior Tutor,Tutors,0.79038274
2241,Senior Cloud Services Engineer,Information Security Engineers,0.49915364
2242,Technology Service Engineer,Industrial Engineering Technologists and Technicians,0.6744502
2243,Associate Medical Director,Medical Secretaries and Administrative Assistants,0.7058134
2244,Review Manager,"Managers, All Other",0.5040562
2245,Research Fellowship,Clinical Research Coordinators,0.55700445
2246,Digital Marketing,Marketing Managers,0.624324
2247,Epitaxial Engineer,Industrial Engineers,0.5699297
2248,Environmental Engineer,Environmental Engineers,0.971928
2249,Senior Director,Art Directors,0.5686057
2250,"Senior Guidance, Navigation, and Control Engineer",Command and Control Center Specialists,0.53961927
2251,Graduate Manager,"Managers, All Other",0.63501704
2252,Lifeguard,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.6400124
2253,Senior Implementation Manager,Administrative Services Managers,0.6055899
2254,advanced analytics manager,Business Intelligence Analysts,0.46702272
2255,Certified Tutor,Tutors,0.8170814
2256,Project Director,Project Management Specialists,0.7364607
2257,Algebra 1 and Algebra 2 tutor,Tutors,0.5785117
2258,FP&A Lead,Freight Forwarders,0.28614905
2259,Net Revenue Management Coordinator,Purchasing Managers,0.51000535
2260,Decision Science Analyst,Management Analysts,0.6241442
2261,Senior Operations Analyst,Operations Research Analysts,0.7738865
2262,Senior Product Content Writer,Technical Writers,0.48617846
2263,Engineering Project Manager,Project Management Specialists,0.8305864
2264,Instructor of Record,"Information and Record Clerks, All Other",0.573813
2265,Product Quality Engineer,Manufacturing Engineers,0.66439354
2266,Theater Instructor,"Teachers and Instructors, All Other",0.57649004
2267,Business Development Lead,Training and Development Specialists,0.487323
2268,Assistant Prosecutor,Legal Secretaries and Administrative Assistants,0.5939549
2269,Associate Dean,"Education Administrators, All Other",0.5148027
2270,Health Benefits Data Analyst,Health Informatics Specialists,0.5404597
2271,Chief of Staff to the Chief Executive Officer,Chief Executives,0.7461722
2272,Named Predoctoral Fellow,Carpenters,0.3728544
2273,Digital Director,Media Programming Directors,0.6016685
2274,Foreign Policy Fellow,Political Scientists,0.46343935
2275,Interpreter coordinator,Interpreters and Translators,0.70066214
2276,Senior Launch Engineer,Aerospace Engineers,0.612591
2277,Economic Analyst,Financial and Investment Analysts,0.74235654
2278,Associate Staff,Medical Secretaries and Administrative Assistants,0.6254735
2279,Assistant,Medical Assistants,0.7550742
2280,small business owner,"Business Operations Specialists, All Other",0.5157615
2281,Business Insights Manager,Business Intelligence Analysts,0.65820825
2282,Enrollment Manager,Purchasing Managers,0.548361
2283,English Tutor,Tutors,0.82078063
2284,Hardware Engineer II,Computer Hardware Engineers,0.8072779
2285,Executive Director & CEO,Chief Executives,0.78794754
2286,Summer Law Clerk,Judicial Law Clerks,0.6591915
2287,Architecture Faculty Associate,"Architecture Teachers, Postsecondary",0.7375335
2288,Basketball Player,Sports Medicine Physicians,0.4511549
2289,Chief Investment Officer,Chief Executives,0.69550884
2290,Mechanical Engineer,Mechanical Engineers,0.97160757
2291,Senior Recruitment Consultant,Human Resources Specialists,0.5795686
2292,Transitioning Service Member,First-Line Supervisors of Personal Service Workers,0.40407348
2293,Child and Adolescent Psychiatry Fellow,Psychiatrists,0.588801
2294,Chemical Sales Manager,Sales Managers,0.70647955
2295,Senior Director of Origination,Art Directors,0.4694469
2296,Client Service Liaison,Customer Service Representatives,0.5228497
2297,Quality Engineer II,Manufacturing Engineers,0.6569288
2298,Production Editor,Editors,0.7800489
2299,UX Program Manager,Computer and Information Systems Managers,0.5481479
2300,Business Development Officer,"Business Operations Specialists, All Other",0.646722
2301,Licensed Clinical Psychologist,Clinical and Counseling Psychologists,0.79233634
2302,Driver Helper,"Helpers--Installation, Maintenance, and Repair Workers",0.47549474
2303,Associate Mission Assurance Engineer,Information Security Engineers,0.5738387
2304,Business Initiatives Lead,Business Continuity Planners,0.39247584
2305,Growth Marketing Manager,Marketing Managers,0.77816033
2306,Communications and Outreach Specialist,"Communications Teachers, Postsecondary",0.65808153
2307,Dance Artist,Dancers,0.68874586
2308,Aerothermal Engineer,Geothermal Technicians,0.64972126
2309,UX Researcher,Computer and Information Research Scientists,0.58055305
2310,Grants Coordinator,Instructional Coordinators,0.56619704
2311,Wellness Informatics & Account Manager,Fitness and Wellness Coordinators,0.6861094
2312,Lighting Technician,Lighting Technicians,0.96831703
2313,Strategy Director,"Managers, All Other",0.50579536
2314,Technical Architect,Computer Systems Engineers/Architects,0.70151305
2315,Clinical Research Specialist,Clinical Research Coordinators,0.82449603
2316,Commercial Expansion Lead,Freight Forwarders,0.36332703
2317,Finance,Financial Managers,0.6909156
2318,Associate Product Counsel,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.5200925
2319,Computational Biologist,Bioinformatics Scientists,0.727788
2320,Advanced Tactics Instructor,First-Line Supervisors of All Other Tactical Operations Specialists,0.56533635
2321,Organic Vegetable Farmer,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.57098264
2322,Software Engineering Team Lead,Software Developers,0.6460321
2323,Equity Investment Analyst,Financial and Investment Analysts,0.8176986
2324,Assistant Head Coach,Coaches and Scouts,0.52343297
2325,Senior Business Operations Manager,"Business Operations Specialists, All Other",0.7870408
2326,Assistant Research Coordinator,Clinical Research Coordinators,0.7785597
2327,Regional President,Urban and Regional Planners,0.38675055
2328,Freelance Software Architect,Software Developers,0.65169644
2329,Architecture Teacher Scholar,"Architecture Teachers, Postsecondary",0.8522543
2330,Politics Reporter,Political Scientists,0.60345924
2331,Contributor,Editors,0.4074912
2332,Bioinformatics Analyst,Bioinformatics Scientists,0.88695884
2333,Agricultural Water Quality Specialist,Water Resource Specialists,0.7424511
2334,Assistant Public Defender I,Lawyers,0.53010416
2335,Recruiting Operations Manager,General and Operations Managers,0.68613917
2336,Visiting Lecturer,"Teachers and Instructors, All Other",0.417961
2337,Projects Director,Project Management Specialists,0.7208047
2338,Global Corporate Banking COO Vice President,Financial Managers,0.46238664
2339,Senior Advisor,Residential Advisors,0.6327949
2340,Named Postdoctoral Scholar,Archivists,0.51498544
2341,Senior Newsroom Engineer,Industrial Engineers,0.5554975
2342,Antitrust Associate,Regulatory Affairs Specialists,0.46631366
2343,Growth Program Manager,Training and Development Managers,0.5339581
2344,Program Specialist,Training and Development Specialists,0.6462565
2345,Editor-in-Chief,Editors,0.8159411
2346,Healthcare Operations Analyst,Operations Research Analysts,0.69844973
2347,Business Operations Manager,"Business Operations Specialists, All Other",0.8309014
2348,Assistant Football Coach,Coaches and Scouts,0.5111024
2349,Deputy City Attorney,"Court, Municipal, and License Clerks",0.5526268
2350,Educational Consultant,"Education Administrators, All Other",0.6952039
2351,Sound Collector,Sound Engineering Technicians,0.54671556
2352,Associate Data Scientist,Data Scientists,0.822688
2353,Associate Managing Consultant,Administrative Services Managers,0.558614
2354,Package Handler,"Packers and Packagers, Hand",0.44702184
2355,Senior Content Producer,Media Programming Directors,0.52961165
2356,FX Forwards Trading Analyst,Financial and Investment Analysts,0.52538514
2357,Senior Product Marketing Specialist,Marketing Managers,0.6742693
2358,Development Associate,Training and Development Specialists,0.69477844
2359,Decision Analytics Associate Consultant,Business Intelligence Analysts,0.5436054
2360,Representative,Legislators,0.685731
2361,Global Industry Analyst,Management Analysts,0.6648623
2362,Performance Manager,Industrial Production Managers,0.55945843
2363,Head of Private Markets,Chief Executives,0.49540818
2364,Senior Quantitative UX Researcher,Financial Quantitative Analysts,0.6593948
2365,Senior Business Development Manager,"Business Operations Specialists, All Other",0.5980504
2366,Community Outreach Coordinator,"Community and Social Service Specialists, All Other",0.6094564
2367,M&A Investment Banking Associate,"Financial Specialists, All Other",0.5908122
2368,Financial Institution Policy Analyst I,Financial and Investment Analysts,0.75517625
2369,Agent Trainee,Travel Agents,0.5711597
2370,Sustainability Specialist,Sustainability Specialists,0.96261644
2371,Vice President of Sales,Sales Managers,0.5731434
2372,Biotech Management Consultant,Bioengineers and Biomedical Engineers,0.6027044
2373,Chief Strategy and Innovation Officer,Chief Executives,0.66796744
2374,Pastoral Care Associate,Clergy,0.5658724
2375,Director of Clinical Education,Health Education Specialists,0.65704
2376,Business Integration Senior Analyst,Business Intelligence Analysts,0.6203108
2377,Quality Management Team Lead,Quality Control Systems Managers,0.59646505
2378,Electric Propulsion Engineer II,Electrical Engineers,0.63151985
2379,Senior Online Editor,Editors,0.7058022
2380,Co-Founder & CEO,Chief Executives,0.63949585
2381,Dentist,"Dentists, General",0.81233525
2382,Independent Producer,Producers and Directors,0.6170179
2383,Growth Program,Training and Development Specialists,0.45917132
2384,Laboratory Technician,Medical and Clinical Laboratory Technicians,0.84599817
2385,Test Engineer,Electrical Engineers,0.6883234
2386,Provost's Postdoctoral Fellow,Medical Secretaries and Administrative Assistants,0.51145184
2387,Engineer II,Mechanical Engineers,0.70455194
2388,Investment Operations Manager,Investment Fund Managers,0.75489086
2389,International Affairs Associate,Human Resources Specialists,0.52833843
2390,Regional Marketing Lead,Marketing Managers,0.5464357
2391,Theater Designer,Commercial and Industrial Designers,0.6611269
2392,Group Fitness Coordinator,Fitness and Wellness Coordinators,0.79529834
2393,Co-Producer,Producers and Directors,0.72625965
2394,Business Development Coordinator,Training and Development Specialists,0.6610826
2395,Strategic Impact & Communication Advisor,Management Analysts,0.5111501
2396,Psychiatry Resident,Psychiatric Technicians,0.67976344
2397,Romanian Language Student,"Foreign Language and Literature Teachers, Postsecondary",0.4050326
2398,Scientific Partnerships Manager,Natural Sciences Managers,0.65929496
2399,Commercial Director,Producers and Directors,0.62986684
2400,Emergency Medicine Specialist,Emergency Medicine Physicians,0.89215815
2401,Chief Engineer,Civil Engineers,0.70753694
2402,Chief Business Officer,Chief Executives,0.7873802
2403,Sports Ambassador,Sports Medicine Physicians,0.604765
2404,Project Finance Associate,Project Management Specialists,0.65380204
2405,Medical Student Researcher,"Medical Scientists, Except Epidemiologists",0.6408552
2406,Policy Data Analyst,Climate Change Policy Analysts,0.5884654
2407,Co-Artistic Director,Art Directors,0.82943517
2408,Energy Storage Performance Analyst,Solar Energy Installation Managers,0.4637187
2409,Placement Support,Computer User Support Specialists,0.45564747
2410,Interim Executive Director,Emergency Management Directors,0.5713758
2411,Senior Data Engineer II,Data Scientists,0.62160844
2412,Noise and Vibration Consultant,Sound Engineering Technicians,0.47660607
2413,PGY-5 Resident,Probation Officers and Correctional Treatment Specialists,0.33693635
2414,Higher Education Teaching Research Assistant,"Teaching Assistants, Postsecondary",0.6757837
2415,Robotics Software Engineer,Robotics Engineers,0.86386627
2416,Cloud Platform Architect,Computer Network Architects,0.47803122
2417,Senior Market Acquisitions Director,Purchasing Managers,0.44228548
2418,Computational Biologist II,Molecular and Cellular Biologists,0.6357299
2419,Senior Recruiter,Infantry Officers,0.5857821
2420,Senior Vice President,Chief Executives,0.4856779
2421,Commercial Real Estate Broker,Real Estate Brokers,0.85805434
2422,Sales Engineer,Sales Engineers,0.9731523
2423,Global Product Manager II,General and Operations Managers,0.4900717
2424,Senior Account Representative,New Accounts Clerks,0.5465329
2425,Associate II,Occupational Therapy Assistants,0.49356127
2426,Business Development Launch Manager,Business Continuity Planners,0.48082507
2427,MD Candidate,Patient Representatives,0.44966185
2428,Doctor of Philosophy,"Physicians, All Other",0.5150535
2429,MD student,Physician Assistants,0.5010968
2430,Interventional Cardiology Fellow,Cardiologists,0.70487857
2431,Supervisory Research Ecologist,Industrial Ecologists,0.63101876
2432,Associate Engineer,Industrial Engineers,0.7340848
2433,Manufacturing Engineering Program Team Supervisor,Manufacturing Engineers,0.666379
2434,Founding Partner,Writers and Authors,0.32530338
2435,Secretary Board Of Directors,Emergency Management Directors,0.52448374
2436,Senior Portfolio Manager,Investment Fund Managers,0.6898785
2437,Staff Physician,Family Medicine Physicians,0.68664014
2438,Foundation Assistant,Nursing Assistants,0.52869034
2439,Senior Delivery Assurance Analyst,Logistics Analysts,0.66699135
2440,Pastor,Clergy,0.7516374
2441,Corporate Sustainability Lead,Sustainability Specialists,0.65028226
2442,Associate Administrator,Database Administrators,0.6830675
2443,Staff Product Strategy Manager,Marketing Managers,0.57037723
2444,Lead Backend Engineer,Materials Engineers,0.5641837
2445,MPA Candidate,Legislators,0.4078852
2446,Muni Trading Associate,Customs Brokers,0.4219408
2447,Host and Executive Producer,Producers and Directors,0.6632733
2448,Chief People Officer,Chief Sustainability Officers,0.6758971
2449,Software Engineering Lead,Software Developers,0.6272166
2450,Associate Environmental Planner,Environmental Engineers,0.69537675
2451,Structurer,"Assemblers and Fabricators, All Other",0.45239392
2452,Senior Compliance Analyst,Compliance Officers,0.77203745
2453,Visiting Assistant Profesor,Medical Secretaries and Administrative Assistants,0.5042756
2454,Assistant Athletic Director,Athletic Trainers,0.5717566
2455,Urologist,Urologists,0.91642225
2456,Communications Coordinator,Instructional Coordinators,0.6550269
2457,Localization -Visual Arts Team Lead,Art Directors,0.46265846
2458,Business Law Attorney,Lawyers,0.65091085
2459,Product Design Engineer,Manufacturing Engineers,0.6864598
2460,Supervisor Child Trauma Therapist,"Therapists, All Other",0.575969
2461,Emerging League Fellow,"Drafters, All Other",0.42838854
2462,Research Data Associate,Data Scientists,0.5985228
2463,Behavioral Health Consultant,Mental Health Counselors,0.6934441
2464,SAT Tutor,Tutors,0.71377707
2465,Associate Account Manager,Administrative Services Managers,0.5828511
2466,Visiting Secretary,Medical Secretaries and Administrative Assistants,0.46578583
2467,Equal Justice Works Fellow,Equal Opportunity Representatives and Officers,0.46245173
2468,M&A Associate,Labor Relations Specialists,0.50058204
2469,Psychotherapist,"Psychologists, All Other",0.6444905
2470,Alumni Council Executive Committee,Executive Secretaries and Executive Administrative Assistants,0.4490345
2471,PGY-3 Medical Resident,General Internal Medicine Physicians,0.4761628
2472,Assistant Professor,"Teaching Assistants, All Other",0.6481335
2473,Director's Assistant,Surgical Assistants,0.6033355
2474,Research and Evaluation Manager,Training and Development Managers,0.57822746
2475,Researcher,Computer and Information Research Scientists,0.6347901
2476,Tax Associate,Tax Preparers,0.5605001
2477,IG Credit Trading Associate,Credit Analysts,0.5985186
2478,Graduate,"Education Administrators, Postsecondary",0.50521815
2479,Robotics Mechanical Engineer,Robotics Engineers,0.9072788
2480,Trainee Solicitor,Lawyers,0.56902874
2481,Senior Lead Scientist,Physicists,0.49409425
2482,Special Projects Manager,Project Management Specialists,0.832764
2483,Enterprise Client Solutions Manager,Information Technology Project Managers,0.44565624
2484,Sales Coordinator,Sales Managers,0.7678492
2485,Operations & Delivery Senior Associate,"Business Operations Specialists, All Other",0.61992073
2486,Deputy Organizing Director,Emergency Management Directors,0.5444098
2487,Senior Computational Scientist,Computer and Information Research Scientists,0.58211386
2488,General Engineer,Mechanical Engineers,0.75553465
2489,Senior Project Development Associate,Project Management Specialists,0.6884134
2490,Production Coordinator,Instructional Coordinators,0.6403072
2491,Assistant Secretary,Executive Secretaries and Executive Administrative Assistants,0.6769435
2492,Academic Advisor,Residential Advisors,0.656493
2493,Financial Risk Associate,Financial Risk Specialists,0.7882606
2494,2nd Year Resident,Residential Advisors,0.37550038
2495,Unit Head,Wellhead Pumpers,0.42976117
2496,Community Science Program Assistant,Social Science Research Assistants,0.72437453
2497,Marine Engineer,Marine Engineers and Naval Architects,0.81438154
2498,Scientist I,"Life Scientists, All Other",0.68792224
2499,Correspondent,"News Analysts, Reporters, and Journalists",0.4999575
2500,Senior trader,Cashiers,0.5093828
2501,Technical Account Manager,Financial Managers,0.5776657
2502,Research Software Development Engineer II,Software Developers,0.6453698
2503,Senior Trade Marketing Manager,Marketing Managers,0.7908776
2504,Scientific Researcher,"Biological Scientists, All Other",0.6878287
2505,Staff User Experience Researcher,Computer User Support Specialists,0.50080603
2506,Hydraulic Engineer,Mechanical Engineers,0.7822172
2507,Navy Head Squash Coach,Animal Trainers,0.43838423
2508,Lighting Artist,Craft Artists,0.6151856
2509,Staff Battery Design Engineer,Fuel Cell Engineers,0.49087048
2510,Head of Strategy,Chief Executives,0.48207414
2511,Senior Software Development Engineer,Software Developers,0.7257681
2512,Sales Director,Sales Managers,0.7862384
2513,Senior Attitude Determination and Control System Engineer,Command and Control Center Specialists,0.44980094
2514,Assessment Content Manager,Document Management Specialists,0.51498836
2515,Awards Director,Talent Directors,0.6814356
2516,Blogger,Editors,0.44113538
2517,Analysis Coordinator,Clinical Research Coordinators,0.62668824
2518,Not-for-Profit Healthcare Investment Banking Associate,"Financial Specialists, All Other",0.49630526
2519,Implementation Lead,Blockchain Engineers,0.286332
2520,Publicity Director,Media Technical Directors/Managers,0.66059905
2521,TMT Corporate Access Specialist,"Business Operations Specialists, All Other",0.513812
2522,Loads Engineer,Mechanical Engineers,0.69406176
2523,Audio Producer,Audiologists,0.67567927
2524,Program Analyst IV,Computer Systems Analysts,0.615844
2525,Navigator,Commercial Pilots,0.4001382
2526,ESG Associate,Electricians,0.41833705
2527,Administrative Resident,Administrative Services Managers,0.6114446
2528,Operations Supervisor,General and Operations Managers,0.7152002
2529,Doctoral Researcher,Clinical Research Coordinators,0.5190002
2530,National Account Sales Manager,Sales Managers,0.67442834
2531,Registration Services Coordinator,Instructional Coordinators,0.5496203
2532,Research Associate I,Clinical Research Coordinators,0.5672991
2533,Consumer Marketing Manager,Marketing Managers,0.8913394
2534,Senior Account Partner,New Accounts Clerks,0.451055
2535,Marketing Communications Consultant,Marketing Managers,0.6959915
2536,Associate Counsel,"Counselors, All Other",0.59980464
2537,Community Director,Media Programming Directors,0.49697304
2538,Digital Brand Specialist,Commercial and Industrial Designers,0.55053556
2539,Legal Aide,"Legal Support Workers, All Other",0.62323844
2540,Community Developer,Software Developers,0.6820203
2541,Special Projects Editor,Editors,0.6400803
2542,Project Fellow,Project Management Specialists,0.43679827
2543,Group Director,Art Directors,0.46199238
2544,Senior Streaming Engineer,Telecommunications Engineering Specialists,0.56368506
2545,Sales Development Representative,Sales Engineers,0.7354836
2546,Senior Process Engineer,Manufacturing Engineers,0.56660926
2547,Business Associate,"Business Operations Specialists, All Other",0.6616317
2548,Bertha Justice Fellow,Judicial Law Clerks,0.4221902
2549,Strategy Project Manager,Project Management Specialists,0.7483264
2550,Lab Technician,Medical and Clinical Laboratory Technicians,0.7926294
2551,NASA Postdoctoral Program fellow,Atmospheric and Space Scientists,0.5328058
2552,Ticket Sales Associate,"Ushers, Lobby Attendants, and Ticket Takers",0.5937896
2553,Co-Investigator,Detectives and Criminal Investigators,0.6133293
2554,Internal Consultant,General Internal Medicine Physicians,0.62854385
2555,Recruiting Manager,Human Resources Managers,0.5998907
2556,Actuarial Analyst,Actuaries,0.52970004
2557,Financial Advisor,Personal Financial Advisors,0.86290956
2558,Senior Security Engineer,Information Security Engineers,0.7796029
2559,General Surgery Resident,Surgical Assistants,0.57035
2560,Traditional Irish Music Teacher,Music Therapists,0.4577661
2561,Advancement Officer,Compliance Officers,0.64910424
2562,Sea Level Rise Fellow,Hydrologists,0.3351664
2563,Perfumer,Floral Designers,0.4847118
2564,Investment Professional,Financial and Investment Analysts,0.738176
2565,Staff Accountant,Accountants and Auditors,0.7248848
2566,Associate Wealth Advisor,Personal Financial Advisors,0.64184755
2567,Sales Lead Manager,Sales Managers,0.8092681
2568,Foreign Exchange Trader,Customs Brokers,0.54033065
2569,Mathematics Tutor,Tutors,0.81347096
2570,Senior Research Coordinator,Clinical Research Coordinators,0.7911651
2571,Spanish Interpreter,Interpreters and Translators,0.75955915
2572,Senior Staff Demand Planner,Project Management Specialists,0.49691874
2573,Senior Data Science Manager,Data Scientists,0.7248683
2574,Senior Speech Scientist,Speech-Language Pathologists,0.67949885
2575,PGY-4 Resident,Probation Officers and Correctional Treatment Specialists,0.35363525
2576,Master of Public Administration,Administrative Services Managers,0.63885045
2577,Strategy Associate,General and Operations Managers,0.47517246
2578,Account Executive Team Lead,Chief Executives,0.5524924
2579,Head of e-Commerce,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.55258
2580,Narrative Writer II,Writers and Authors,0.6043301
2581,Festival Producer,Producers and Directors,0.6419389
2582,Category Specialist II,Regulatory Affairs Specialists,0.54123163
2583,Scientist IV,"Life Scientists, All Other",0.59363604
2584,Named Research Assistant,Social Science Research Assistants,0.5947387
2585,Behavioral Scientist,"Psychologists, All Other",0.61301184
